"gene","count_5_3_R1","count_5_3_R2","count_5_4_R1","count_5_4_R2"
"1",0.00432137378264258,0,-0.0268721464003014,-0.180456064458131
"2",0,0,0.301029995663981,0.602059991327962
"3",0,0.301029995663981,0,0
"4",1.23044892137827,1.30102999566398,0.698970004336019,0.778151250383644
"5",0,0,0.477121254719662,0.477121254719662
"6",0.301029995663981,0,0,0
"7",1.30102999566398,1.36172783601759,0.924795995797912,0.843855422623161
"8",0,0,0.301029995663981,0.477121254719662
"9",1.38021124171161,1.47712125471966,1.50514997831991,1.60205999132796
"10",0.301029995663981,0.597695185925512,0.698970004336019,0.602059991327962
"11",1.47683162851226,1.47712125471966,1.64345267648619,1.659631011607
"12",0.477121254719662,0.477121254719662,0.903089986991944,0.903089986991944
"13",1.04139268515823,0.845098040014257,1.04139268515823,0.778151250383644
"14",1.44715803134222,1.34242268082221,1.47712125471966,1.46239799789896
"15",0,0,0.301029995663981,0
"16",0.602059991327962,0.477121254719662,0.903089986991944,1
"17",0.477121254719662,0.406540180433955,0,0
"18",1.85733249643127,1.83884909073726,1.88991768343621,1.89209460269048
"19",0.301029995663981,0,0.301029995663981,0
"20",0,0,0.301029995663981,0.301029995663981
"21",0.164352855784437,0.477121254719662,0,0.301029995663981
"22",-0.0222763947111523,0,0,0
"23",0,0.301029995663981,0,0
"24",1.8750612633917,2.02510096104681,2.13353890837022,2.22010808804005
"25",0.778151250383644,1.11394335230684,0.698970004336019,0.698970004336019
"26",0,0,0.301029995663981,0
"27",1.04139268515823,1.25527250510331,1.46239799789896,1.61278385671974
"28",0.301029995663981,0,0,0
"29",0.746634198937579,0.546542663478131,0,0
"30",0,0,0,0.301029995663981
"31",0,0,0,0.477121254719662
"32",0.602059991327962,0.698970004336019,0.602059991327962,0.778151250383644
"33",0.301029995663981,0.477121254719662,0.698970004336019,0.698970004336019
"34",0.698970004336019,0.845098040014257,0.602059991327962,0.698970004336019
"35",0.602059991327962,0.903089986991944,0.477121254719662,0.698970004336019
"36",0.602059991327962,0.00432137378264258,0.301029995663981,0
"37",0.477121254719662,0.698970004336019,0.301029995663981,0.603144372620182
"38",-0.00436480540245009,0,0,0
"39",0.663700925389648,0.904174368284164,0.301029995663981,0.301029995663981
"40",2.23299611039215,2.40312052117582,2.39269695325967,2.63748972951251
"41",0,0,0,0.301029995663981
"42",0,0,0.477121254719662,0
"43",1.93896979722289,2.34044411484012,2.07188200730613,2.4707925725669
"44",0.301029995663981,0.602059991327962,0,0
"45",0.301029995663981,0.301029995663981,0.778151250383644,1
"46",0.301029995663981,0,0,0
"47",0.301029995663981,0,0.301029995663981,0
"48",1.30102999566398,1.38021124171161,1.43136376415899,1.44715803134222
"49",0,0.0827853703164501,0,0
"50",0,0,0,0.303196057420489
"51",0.301029995663981,0.602059991327962,0,0
"52",0,0.477121254719662,0,0
"53",0,0.603144372620182,0,0.301029995663981
"54",0.857332496431269,0.728353782021228,0.354108439147401,0.835056101720116
"55",0.705863712283919,0.81424759573192,0.611723308007342,0.597695185925512
"56",-0.00436480540245009,0.301029995663981,0,0
"57",0.477121254719662,0.477121254719662,0,0
"58",1.21853550521653,1.17609125905568,1.11394335230684,1.25527250510331
"59",1.14612803567824,1.14612803567824,0.954242509439325,1.23044892137827
"60",0,0.845098040014257,0.477121254719662,0.477121254719662
"61",2.6159500516564,2.7109546696041,2.69535031756943,2.84135947045485
"62",0,0.301029995663981,0,0.301029995663981
"63",0,0.00432137378264258,0,0
"64",0.602059991327962,0.602059991327962,0,0
"65",0,-0.236572006437063,0,0
"66",0,0.307496037913213,0,0
"67",0,0,0.477121254719662,0.607455023214668
"68",0.0899051114393979,0,0,0
"69",0.322219294733919,0,0,0
"70",0,0.100370545117563,0,0
"71",0.301029995663981,0.477121254719662,0,0
"72",1,1.11394335230684,1.07918124604762,1.11394335230684
"73",1.84509804001426,1.89762709129044,1.97854570046274,2.03742649794062
"74",0,0,0.404833716619938,0
"75",0,0.387389826338729,0,0
"76",0,0.301029995663981,0,0
"77",0.477121254719662,0.602059991327962,0,0.301029995663981
"78",0.477121254719662,0.778151250383644,1.17609125905568,1.11394335230684
