"gene"	"transcript"	"logFC_gast_nect"	"logCPM_gast_nect"	"PValue_gast_nect"	"P_adjust_gast_nect"	"CMN0040"	"CMN0039"	"CMN0047"	"CMN0048"	"go"	"CMN0039_GO_wnt"	"CMN0040_GO_wnt"	"CMN0039_GO_mapk"	"CMN0040_GO_mapk"	"CMN0039_GO_cyst"	"CMN0040_GO_cyst"	"CMN0039_GO_fate"	"CMN0040_GO_fate"
"359"	"c104754_g1_i1"	"54222"	-0.784992360503955	5.79239353150214	0.357003557822558	1	710	602	615	1028	"GO:0004721,GO:0006470"	602	710	602	710	602	710	602	710
"360"	"c104774_g1_i1"	"46640"	-0.222761666303207	1.5040111505031	0.871177664130335	1	66.91	57.36	19.12	6.37	"GO:0005694,GO:0031981,GO:0003677,GO:0003678,GO:0008026,GO:0006259,GO:0006974,GO:0031323,GO:0044710,GO:0044763,GO:0048523,GO:0051276,GO:0060255,GO:0080090"	57.36	66.91	57.36	66.91	57.36	66.91	57.36	66.91
"361"	"c104774_g1_i2"	"46638"	-1.92358570438851	0.722444348671808	0.0926760160367585	1	30.09	6.64	11.88	29.63	"GO:0016787,GO:0044237"	6.64	30.09	6.64	30.09	6.64	30.09	6.64	30.09
"362"	"c104784_g1_i1"	"14095"	0.381097926632928	6.13275808583752	0.745258556856436	1	1452.82	1930.59	521.55	86.93	"GO:0005768,GO:0016020,GO:0006810"	1930.59	1452.82	1930.59	1452.82	1930.59	1452.82	1930.59	1452.82
"363"	"c104784_g1_i2"	"14094"	-1.47541440282887	4.75950669301861	0.53722696151985	1	0	0	405.58	971.07	"GO:0005768,GO:0016020,GO:0006810"	0	0	0	0	0	0	0	0
"364"	"c104804_g1_i1"	"60669"	2.85752700303016	2.09384299970057	0.0549602651790563	1	0	177.13	46.8	24.29	"GO:0005634,GO:0005700,GO:0005829,GO:0001077,GO:0003705,GO:0005184,GO:0043425,GO:0043565,GO:0046982,GO:0000122,GO:0007411,GO:0007422,GO:0007613,GO:0008049,GO:0008407,GO:0008594,GO:0010092,GO:0016360,GO:0036011,GO:0042051,GO:0043066,GO:0045465,GO:0045676,GO:0045872,GO:0045893,GO:0048800,GO:0048813,GO:0048814"	176.870625	0	177.13	0	177.13	0	177.13	0
"365"	"c104804_g1_i2"	"60670"	-0.436672751906316	3.57044526688546	0.620497691242411	1	175	122.14	174.2	161.67	"GO:0005634,GO:0005700,GO:0005829,GO:0001077,GO:0003705,GO:0005184,GO:0043425,GO:0043565,GO:0046982,GO:0000122,GO:0007411,GO:0007422,GO:0007613,GO:0008049,GO:0008407,GO:0008594,GO:0010092,GO:0016360,GO:0036011,GO:0042051,GO:0043066,GO:0045465,GO:0045676,GO:0045872,GO:0045893,GO:0048800,GO:0048813,GO:0048814"	122.14	175	122.14	175	122.14	175	122.14	175
"366"	"c104804_g1_i3"	"19272"	6.56435657255297	-0.601074359345516	0.0242221612442951	1	0	31.73	0	0.04	"GO:0005634,GO:0003677,GO:0003700,GO:0006357,GO:0044699,GO:0045893,GO:0050896"	31.73	0	31.73	0	31.73	0	31.73	0
"367"	"c104819_g1_i1"	"113728"	0.0806553519364146	0.935244592896972	0.956898154661222	1	28	43	13	15	"GO:0003690,GO:0008263,GO:0006289,GO:0006298"	43	28	43	28	43	28	43	28
"368"	"c104829_g1_i1"	"25185"	-0.17144042527329	4.0641158013901	0.843703463644756	1	195	301	173.66	242	"GO:0005622"	301	195	301	195	301	195	301	195
"369"	"c104874_g1_i1"	"14407"	0.480974862764349	8.4105144168823	0.570371775706154	1	2555.22	4513.73	7225.7	4487.18	"GO:0005739,GO:0004821,GO:0005524,GO:0006427,GO:0032543"	4513.73	2555.22	4513.73	2555.22	4513.73	2555.22	4513.73	2555.22
"370"	"c104874_g1_i2"	"41525"	1.10551180449311	6.29621599962107	0.198185309175036	1	812.12	1787.94	1443.09	434.82	"GO:0005737,GO:0004821,GO:0005524,GO:0006427"	1787.94	812.12	1787.94	812.12	1787.94	812.12	1787.94	812.12
"371"	"c104878_g1_i1"	"79398"	-2.24292532344808	2.95758233375194	0.0646623833173279	1	205	79	4.55	110.85	"GO:0043231"	79	205	79	205	79	205	79	205
"372"	"c104878_g1_i2"	"79399"	-0.00343421720641334	1.71712777876696	1	1	0	0	89.45	77.15	"GO:0043231"	0	0	0	0	0	0	0	0
"373"	"c104889_g1_i1"	"16582"	-0.676985656975548	2.43455681432783	0.483909303590509	1	54.57	58	63.17	106	"GO:0003676,GO:0008270"	58	54.57	58	54.57	58	54.57	58	54.57
"374"	"c104891_g1_i1"	"36792"	5.12548240610387e-15	-2.78163738332491	1	1	0	0	0	0	"GO:0031305,GO:1990246,GO:0005262,GO:0015292,GO:0042802,GO:0019722,GO:0032024,GO:0035786,GO:0036444,GO:0042593,GO:0051561"	0	0	0	0	0	0	0	0
"375"	"c104891_g1_i2"	"36791"	0.812942273066214	1.75409135368419	0.448112928102128	1	22	28	92	36.01	"GO:0031305,GO:1990246,GO:0005262,GO:0015292,GO:0042802,GO:0019722,GO:0032024,GO:0035786,GO:0036444,GO:0042593,GO:0051561"	28	22	28	22	28	22	28	22
"376"	"c104896_g1_i1"	"7055"	-0.534640900875893	3.83229220820827	0.537891050816869	1	213	139	203	203	"GO:0044424,GO:0003713,GO:0005515,GO:0007507,GO:0009653,GO:0009790,GO:0010467,GO:0030154,GO:0045844,GO:0045944,GO:0061061"	139	213	139	213	139	213	139	213
"377"	"c104900_g1_i1"	"92337"	0.0110461284993314	1.75359016610247	1	1	37	47	50	43	"GO:0005634,GO:0032991,GO:0044446,GO:0005488"	47	37	47	37	47	37	47	37
"378"	"c104902_g1_i1"	"37486"	-0.238241026273675	9.91845004817285	0.770164968326388	1	11782.3	15707.3	11168.3	14274.2	"GO:0005789,GO:0016021,GO:0004579,GO:0006486"	15707.3	11782.3	15707.3	11782.3	15707.3	11782.3	15707.3	11782.3
"379"	"c104912_g1_i1"	"50095"	0.311961026828999	4.47282964048922	0.71464019467472	1	227.67	445.97	295.04	262.24	"GO:0016740"	445.97	227.67	445.97	227.67	445.97	227.67	445.97	227.67
"380"	"c104916_g1_i1"	"117409"	-1.52870742399079	0.751902964993161	0.182909967562186	1	20	15	9	37	"GO:0005739,GO:0031967,GO:0043234,GO:0044425,GO:0005515,GO:0002376,GO:0006950,GO:0007548,GO:0008637,GO:0009653,GO:0010604,GO:0031325,GO:0032268,GO:0032504,GO:0043281,GO:0044238,GO:0044702,GO:0044765,GO:0044802,GO:0048468,GO:0048513,GO:0048523,GO:0048872,GO:0071704,GO:0097191,GO:0097193,GO:0097285,GO:1902589,GO:2001235"	15	20	15	20	15	20	15	20
"381"	"c104917_g2_i1"	"3421"	-0.0786645913224973	4.620922788981	0.926133974357561	1	292.56	374.46	341	332.96	"GO:0044464"	374.46	292.56	374.46	292.56	374.46	292.56	374.46	292.56
"382"	"c104920_g1_i1"	"27020"	-0.512145202967691	1.95564079860715	0.604634353470788	1	70	53	40	40	"GO:0005845,GO:0003723,GO:0006412"	53	70	53	70	53	70	53	70
"383"	"c104924_g1_i1"	"30859"	0.588203793351531	5.80376649797754	0.496121578364339	1	581.14	1400.77	647	529	"GO:0005634,GO:0005829,GO:0005515,GO:0042277,GO:0032886"	1400.77	581.14	1400.77	581.14	1400.77	581.14	1400.77	581.14
"384"	"c104943_g1_i1"	"12097"	0.279114201894104	6.1869654240813	0.73996603583309	1	869	1497	925	770	"GO:0005654,GO:0043234,GO:0003677,GO:0016787,GO:0016829,GO:0006303,GO:0006355"	1497	869	1497	869	1497	869	1497	869
"385"	"c104945_g1_i1"	"82172"	-0.0416661685383482	7.80159693208122	0.959534840147018	1	2380.77	3756.07	2882	3241	"GO:0005737,GO:0003743,GO:0005515,GO:0044822,GO:0046872,GO:0002176,GO:0006413,GO:0008584"	3756.07	2380.77	3756.07	2380.77	3756.07	2380.77	3756.07	2380.77
"386"	"c104952_g1_i1"	"7299"	-5.85602101168409	5.7898812642814	1.96771637513301e-07	0.00690963605127958	825.1	18	37	1861.24	"GO:0008233"	18	825.1	18	825.1	18	825.1	18	825.1
"387"	"c104953_g1_i2"	"98740"	1.0876103992364	3.73482814536907	0.20969502865477	1	104.89	274.33	263.34	104.97	"GO:0001570,GO:0001822,GO:0006807,GO:0009791,GO:0014909,GO:0030097,GO:0035264,GO:0048008,GO:0048705,GO:0048745,GO:0060021,GO:0060325"	274.33	104.89	274.33	104.89	274.33	104.89	274.33	104.89
"388"	"c104959_g1_i1"	"52164"	-0.432759552324533	4.12312391728827	0.627817680154	1	150.5	195.45	243.14	341.03	"GO:0005730,GO:0000166,GO:0003723,GO:0000447,GO:0000472,GO:0000480,GO:0034462"	195.45	150.5	195.45	150.5	195.45	150.5	195.45	150.5
"389"	"c104970_g1_i1"	"118029"	-0.804305298665272	4.02118371305672	0.345054396572466	1	263.04	181.36	170.7	247.4	"GO:0046872"	181.36	263.04	181.36	263.04	181.36	263.04	181.36	263.04
"390"	"c104970_g1_i2"	"118030"	-1.19239243228451	1.50771289484391	0.335399965206977	1	80.32	43.81	7.3	14.6	"GO:0046872"	43.81	80.32	43.81	80.32	43.81	80.32	43.81	80.32
"391"	"c104971_g1_i1"	"108299"	-6.77540631657244	-0.663128785713315	0.0253987588503631	1	25	0	0	0	"GO:0044424"	0	25	0	25	0	25	0	25
"392"	"c104971_g1_i2"	"36529"	0.0919948401097031	0.156067181813208	1	1	0	15	15	23	"GO:0044424"	15	0	15	0	15	0	15	0
"393"	"c104984_g1_i2"	"12428"	0.507278822008375	-0.758961339172225	0.859289288601874	1	0	0	15	9	"GO:0003676,GO:0044699"	0	0	0	0	0	0	0	0
"394"	"c104994_g1_i1"	"51608"	0.0223404591071116	4.53816239685312	0.980778608680454	1	316	458	251	256	"GO:0005739,GO:0000062,GO:0009055,GO:0017099,GO:0050660,GO:0052890,GO:0033539,GO:0042760,GO:0055088,GO:0060322"	458	316	458	316	458	316	458	316
"395"	"c105001_g2_i1"	"17218"	-6.87870583628165	-0.586755620320437	0.0227659301839967	1	0	0	0	26	"GO:0016020,GO:0070062"	0	0	0	0	0	0	0	0
"396"	"c105001_g2_i2"	"17217"	-0.0944048599911728	0.743132654392949	0.96398326069763	1	40	29	16	0	"GO:0016020,GO:0070062"	29	40	29	40	29	40	29	40
"397"	"c105019_g1_i1"	"97890"	-0.493006072111703	3.83945673529278	0.567972245651478	1	196.5	164.36	187.5	216.14	"GO:0005654,GO:0005829,GO:0031588,GO:0004679,GO:0042802,GO:0006112,GO:0006367,GO:0006468,GO:0006853,GO:0007005,GO:0007050,GO:0008286,GO:0016236,GO:0042304,GO:0044255,GO:0044281,GO:0061024"	164.36	196.5	164.36	196.5	164.36	196.5	164.36	196.5
"398"	"c105026_g2_i2"	"39002"	-0.0145630476771694	-1.82468999912476	1	1	3.48	0	3.93	0	"GO:0016020,GO:0044444,GO:0005488,GO:0016301,GO:0006670,GO:0016310,GO:0048731,GO:0050794"	0	3.48	0	3.48	0	3.48	0	3.48
"399"	"c105032_g1_i1"	"54384"	-1.09956856322249	5.24610874969267	0.215692210629356	1	412	306	410	865.15	"GO:0004739,GO:0006086,GO:0055114"	306	412	306	412	306	412	306	412
"400"	"c105039_g1_i1"	"39377"	-0.611427214901508	6.04593986005108	0.478118842772166	1	1265.21	1014.16	574.08	730.29	"GO:0005789,GO:0016021,GO:0046923,GO:0006621,GO:0015031"	1014.16	1265.21	1014.16	1265.21	1014.16	1265.21	1014.16	1265.21
"401"	"c105039_g1_i2"	"39376"	-0.234190613959953	0.294552713113741	0.899184079966722	1	0	14.91	14.91	28.71	"GO:0005789,GO:0016021,GO:0046923,GO:0006621,GO:0015031"	14.91	0	14.91	0	14.91	0	14.91	0
"402"	"c105046_g1_i1"	"97689"	-0.84038167608582	2.67656037429612	0.356953773392548	1	100	74	61	100	"GO:0005488"	74	100	74	100	74	100	74	100
"403"	"c105054_g1_i1"	"51308"	0.0919735526330303	2.56977019845843	0.92052920712505	1	78	107	74	62	"GO:0044446,GO:0009987"	107	78	107	78	107	78	107	78
"404"	"c105072_g1_i1"	"20084"	-2.35462572440565	1.26550752107766	0.0368434150920155	1	48.86	17.88	4.79	45.89	"GO:0000776,GO:0005634,GO:0005813,GO:0005829,GO:0045171,GO:0004674,GO:0019903,GO:0000086,GO:0007059,GO:0007067,GO:0031145,GO:0046602,GO:0046777,GO:0051225,GO:0051299,GO:0051988,GO:1903126"	17.88	48.86	17.88	48.86	17.88	48.86	17.88	48.86
"405"	"c105072_g1_i2"	"20085"	0.0893211493479846	1.72282772080409	0.945423126874674	1	40.14	36.12	60.21	36.11	"GO:0005634,GO:0005694,GO:0005737,GO:0005813,GO:0043234,GO:0004674,GO:0005488,GO:0006468,GO:0007059,GO:0007067,GO:0007098,GO:0070507"	36.12	40.14	36.12	40.14	36.12	40.14	36.12	40.14
"406"	"c105079_g1_i1"	"53786"	0.775337585639103	-0.0032208230712425	0.641313044083065	1	15.81	12.12	19.76	0	"GO:0003824,GO:0044763"	12.12	15.81	12.12	15.81	12.12	15.81	12.12	15.81
"407"	"c105079_g1_i3"	"53784"	0.265664922553949	4.55634052935361	0.758209431706275	1	190.71	372.88	391.82	335.96	"GO:0003824,GO:0044763"	372.88	190.71	372.88	190.71	372.88	190.71	372.88	190.71
"408"	"c105079_g1_i4"	"53787"	-0.452107571107875	0.821106127375511	0.846833852943033	1	47.6	0	39.04	0	"GO:0003824,GO:0044763"	0	47.6	0	47.6	0	47.6	0	47.6
"409"	"c105105_g1_i1"	"100134"	-9.97819070651508	2.23626591921593	2.36865407171756e-07	0.00831752877283623	56.57	0	0	169.73	"GO:0033180,GO:0046961,GO:0015991"	0	56.57	0	56.57	0	56.57	0	56.57
"410"	"c105105_g1_i2"	"100133"	5.12548240610387e-15	-2.78163738332491	1	1	0	0	0	0	"GO:0033180,GO:0046961,GO:0015991"	0	0	0	0	0	0	0	0
"411"	"c105105_g1_i3"	"100132"	0.620579967028185	2.14670391154548	0.547039772077433	1	62.43	50.96	102	22.27	"GO:0033180,GO:0046961,GO:0015991"	50.96	62.43	50.96	62.43	50.96	62.43	50.96	62.43
"412"	"c105116_g1_i1"	"49999"	-0.180934237500129	2.01908117456685	0.855144828880161	1	66	67.09	44	38	"GO:0000139,GO:0031901,GO:0031902,GO:0004872,GO:0005515,GO:0006661,GO:0007165,GO:0044281"	67.09	66	67.09	66	67.09	66	67.09	66
"413"	"c105121_g1_i1"	"107419"	1.31898380200834	0.0880971434198098	0.270178765950568	1	9	17	22	4	"GO:0044424,GO:0043967"	17	9	17	9	17	9	17	9
"414"	"c105128_g1_i1"	"64165"	-0.752105216356289	4.24514887214043	0.388783243825076	1	216	195	224	370	"GO:0043167"	195	216	195	216	195	216	195	216
"415"	"c105132_g1_i2"	"37506"	0.0203669220395892	4.2518420829891	0.985076425616886	1	149.97	209.32	353.98	315	"GO:0005737,GO:0005886,GO:0007498,GO:0009952,GO:0042694,GO:0048644,GO:0061099"	209.32	149.97	209.32	149.97	209.32	149.97	209.32	149.97
"416"	"c105137_g1_i1"	"58068"	-0.0798281794072375	4.0699621373163	0.929702347032083	1	259	316	177.03	169	"GO:0044424,GO:0004721,GO:0005102,GO:0050839,GO:0006470,GO:0007157,GO:0030182,GO:0046426,GO:0050775,GO:0050776,GO:0097105"	316	259	316	259	316	259	316	259
"417"	"c105140_g1_i2"	"76516"	6.42267740610263	-0.901335414147988	0.0401910717215723	1	0	0	22	0	"GO:0031981,GO:0035948"	0	0	0	0	0	0	0	0
"418"	"c105140_g1_i3"	"76517"	-1.71066104532132	0.77167826956989	0.24974276929686	1	30	23	0	30	"GO:0031981,GO:0035948"	23	30	23	30	23	30	23	30
"419"	"c105161_g1_i1"	"49905"	0.0521336215297001	5.61300530130641	0.951722230561481	1	681	862	640	516	"GO:0016070"	862	681	862	681	862	681	862	681
"420"	"c105168_g1_i1"	"108650"	-0.506037041300751	4.27389404947481	0.549577678023995	1	291	229	246	271	"GO:0000139,GO:0005797,GO:0005801,GO:0016021,GO:0031201,GO:0000149,GO:0005484,GO:0006888,GO:0006891,GO:0006906,GO:0015031,GO:0048209"	229	291	229	291	229	291	229	291
"421"	"c105181_g1_i1"	"5382"	-0.668450949574158	3.89302951140558	0.435807417382045	1	256.31	182	160	194.97	"GO:0016021,GO:0031985"	182	256.31	182	256.31	182	256.31	182	256.31
"422"	"c105181_g2_i2"	"19198"	5.12548240610387e-15	-2.78163738332491	1	1	0	0	0	0	"GO:0016021,GO:0031985"	0	0	0	0	0	0	0	0
"423"	"c105181_g2_i3"	"19199"	-0.320737274084537	2.49725402055049	0.741918003523023	1	96	96	53	57	"GO:0016021,GO:0031985"	96	96	96	96	96	96	96	96
"424"	"c105182_g1_i1"	"15156"	-0.520506613566152	1.91350656232815	0.596832686776871	1	39	42	47	67	"GO:0005488"	42	39	42	39	42	39	42	39
"425"	"c105198_g1_i1"	"30516"	-0.282576486721375	2.80034145557396	0.759525753782188	1	104	116	71	83	"GO:0003824"	116	104	116	104	116	104	116	104
"426"	"c105209_g1_i1"	"91905"	-0.515658267378926	2.85836008161142	0.594250867032884	1	55.9	93	83	151	"GO:0004252,GO:0001654,GO:0007420,GO:0016485"	93	55.9	93	55.9	93	55.9	93	55.9
"427"	"c105209_g1_i2"	"91906"	-8.69210803536188	1.00782220022242	0.00260276321762248	1	95.1	0	0	0	"GO:0004252,GO:0001654,GO:0007420,GO:0016485"	0	95.1	0	95.1	0	95.1	0	95.1
"428"	"c105212_g1_i1"	"102831"	-0.0469552486818835	7.20603293893089	0.954771113795526	1	1744.09	2707.09	1699.52	1987.53	"GO:0000502,GO:0044237,GO:0044238,GO:0071704"	2707.09	1744.09	2707.09	1744.09	2707.09	1744.09	2707.09	1744.09
"429"	"c105219_g1_i1"	"13214"	-0.757874819176003	3.14450563521211	0.399541299889069	1	149	98	96	124	"GO:0016772,GO:0005975,GO:0044237,GO:0044710,GO:0044763"	98	149	98	149	98	149	98	149
"430"	"c105231_g1_i1"	"106476"	0.581633727732222	7.91268326892679	0.473905518594562	1	2369.04	4888.22	3828.62	2437.62	"GO:0016020,GO:0005515,GO:0044822,GO:0001649"	4888.22	2369.04	4888.22	2369.04	4888.22	2369.04	4888.22	2369.04
"431"	"c105240_g2_i1"	"2687"	0.134503492839607	4.91632924481998	0.877281322594235	1	236	490.01	455.19	473.88	"GO:0005634,GO:0005737,GO:0031625,GO:0061630,GO:0000209,GO:0006974"	490.01	236	490.01	236	490.01	236	490.01	236
"432"	"c105240_g2_i2"	"2688"	-1.20623444740979	-0.0984601695954739	0.574314842194832	1	0	0	13.62	27.24	"GO:0005634,GO:0005737,GO:0031625,GO:0061630,GO:0000209,GO:0006974"	0	0	0	0	0	0	0	0
"433"	"c105240_g2_i3"	"2689"	0.134503486280827	4.91632924481998	0.877287854773164	1	236	490.01	455.19	473.88	"GO:0005634,GO:0005737,GO:0031625,GO:0061630,GO:0000209,GO:0006974"	490.01	236	490.01	236	490.01	236	490.01	236
"434"	"c105252_g1_i2"	"109297"	-1.62722677331959	3.38011968739517	0.0782381696290316	1	179.37	107.55	46.24	207.12	"GO:0050794"	107.55	179.37	107.55	179.37	107.55	179.37	107.55	179.37
"435"	"c105252_g1_i3"	"23867"	-0.638925689579724	4.98163380989559	0.477798676591649	1	297.63	265.45	461.76	650.88	"GO:0050794"	265.45	297.63	265.45	297.63	265.45	297.63	265.45	297.63
"436"	"c105263_g1_i1"	"30813"	-0.140386428715061	2.6610142590173	0.896723991255974	1	102.6	142.17	39.6	59.66	"GO:0005743,GO:0005840,GO:0003735,GO:0044822,GO:0006412"	142.17	102.6	142.17	102.6	142.17	102.6	142.17	102.6
"437"	"c105263_g1_i2"	"68039"	1.29586000217633	0.992085393732093	0.290184825231712	1	23.4	56.83	23.4	3.34	"GO:0005743,GO:0005840,GO:0003735,GO:0044822,GO:0006412"	56.83	23.4	56.83	23.4	56.83	23.4	56.83	23.4
"438"	"c105267_g1_i1"	"35439"	0.110170407325717	3.334631020462	0.910248072109943	1	139	208	107	100	"GO:0008152"	208	139	208	139	208	139	208	139
"439"	"c105268_g1_i1"	"81740"	6.34426440346289	1.11160481971383	0.000178730662771811	1	1	20	95.22	0	"GO:0005488,GO:0006810,GO:0009987,GO:0044238,GO:0044699,GO:0050789,GO:0071704"	20	1	20	1	20	1	20	1
"440"	"c105271_g1_i1"	"35121"	0.456997372656584	-0.795481164510543	0.772333640671489	1	5	8	7	4	"GO:0010171"	8	5	8	5	8	5	8	5
"441"	"c105274_g3_i1"	"84175"	1.2609639397887	2.37873704546455	0.255472734785043	1	56.4	39.57	167.55	18.27	"GO:0004672,GO:0005488,GO:0002376,GO:0006468,GO:0007166,GO:0044707,GO:0048518"	39.57	56.4	39.57	56.4	39.57	56.4	39.57	56.4
"442"	"c105274_g3_i2"	"84173"	0.390341997196855	2.96055637622031	0.690981585057592	1	41.61	159.43	103.45	121.73	"GO:0004672,GO:0005488,GO:0002376,GO:0006468,GO:0007166,GO:0044707,GO:0048518"	159.43	41.61	159.43	41.61	159.43	41.61	159.43	41.61
"443"	"c105323_g1_i1"	"56903"	1.25165271611786	7.45344510961439	0.197985014794603	1	1496.49	1148.9	5987.49	1092.05	"GO:0005829,GO:0005859,GO:0016461,GO:0070062,GO:0003774,GO:0005515,GO:0008307,GO:0007519,GO:0030049"	1148.9	1496.49	1148.9	1496.49	1148.9	1496.49	1148.9	1496.49
"444"	"c105337_g1_i1"	"46721"	-0.806820611180909	3.57394950957392	0.363654755370196	1	238	162.08	98	137	"GO:0005794,GO:0044446"	162.08	238	162.08	238	162.08	238	162.08	238
"445"	"c105337_g1_i3"	"46720"	3.75179187449668	-2.28925202807362	0.442060354263161	1	0	3.54	0	0	"GO:0005794,GO:0044446"	3.54	0	3.54	0	3.54	0	3.54	0
"446"	"c105347_g3_i1"	"25235"	-0.433416703606373	2.64997032614949	0.645151426077706	1	84.57	103	55.97	91	"GO:0044428,GO:0000166,GO:0003676,GO:0004386,GO:0016887"	103	84.57	103	84.57	103	84.57	103	84.57
"447"	"c105355_g2_i2"	"69119"	1.75355987998003	2.56125655446153	0.065473584515201	1	36	116.85	147.71	29.54	"GO:0008652"	116.85	36	116.85	36	116.85	36	116.85	36
"448"	"c105355_g2_i3"	"69118"	5.19215845867255	3.68976126739674	0.000167382896021924	1	0	460.14	293.29	16.46	"GO:0008652"	460.14	0	460.14	0	460.14	0	460.14	0
"449"	"c105355_g5_i1"	"112034"	-0.335289380028377	4.32059225342918	0.691466033716174	1	266	282	246.07	285.27	"GO:0005947,GO:0003826,GO:0003863,GO:0004739,GO:0032403,GO:0007584,GO:0009083,GO:0051384,GO:0051591,GO:0055114"	282	266	282	266	282	266	282	266
"450"	"c105368_g2_i2"	"105779"	-0.168450641889835	7.29190592386426	0.839385869023606	1	1505.02	2300.04	2131	2605	"GO:0005737,GO:0003824,GO:0006596,GO:0044699"	2300.04	1505.02	2300.04	1505.02	2300.04	1505.02	2300.04	1505.02
"451"	"c105378_g1_i1"	"56804"	-0.296720822903005	1.62238214855873	0.777091284821204	1	26.73	26.73	51	53.47	"GO:0005768,GO:0009987,GO:0044699,GO:0051179,GO:0065007"	26.73	26.73	26.73	26.73	26.73	26.73	26.73	26.73
"452"	"c105381_g1_i1"	"64893"	-3.0126364658225	3.43327823175252	0.00184384192975382	1	170	43	28.1	301	"GO:0004553,GO:0005975,GO:0044712,GO:1901136"	43	170	43	170	43	170	43	170
"453"	"c105386_g1_i2"	"86794"	0.271023978796738	8.04488709963354	0.737912417395379	1	2983	4875	3839	2978.91	"GO:0005654,GO:0005759,GO:0005829,GO:0030141,GO:0030424,GO:0070062,GO:0004820,GO:0005524,GO:0046983,GO:0006426,GO:0015966"	4875	2983	4875	2983	4875	2983	4875	2983
"454"	"c105392_g1_i1"	"102562"	-0.188150781903836	2.05087580349476	0.863727038114908	1	78	95	21	29	"GO:0005488"	95	78	95	78	95	78	95	78
"455"	"c105393_g1_i3"	"93375"	5.83281041274845	-1.30255851795307	0.0243658088765016	1	0	4.2	10.77	0	"GO:0016301,GO:0006796"	4.2	0	4.2	0	4.2	0	4.2	0
"456"	"c105394_g1_i1"	"72160"	-0.0487179105627935	0.881781324010299	0.999999999999997	1	21	14	35	22	"GO:0050794"	14	21	14	21	14	21	14	21
"457"	"c105413_g1_i1"	"15532"	-3.38912423580087	3.95509786156287	0.00103188934702325	1	272	18	60	425	"GO:0016020,GO:0044464,GO:0005488,GO:0019538,GO:0044763,GO:0048522,GO:0050896"	18	120.95125	18	272	18	272	18	156.602
"458"	"c105424_g2_i1"	"21126"	0.233551622731903	3.83409051583825	0.792163929655562	1	122	223	234	200	"GO:0001725,GO:0001726,GO:0002102,GO:0005737,GO:0005902,GO:0005911,GO:0030175,GO:0031253,GO:0044393,GO:0070062,GO:0071437,GO:0008144,GO:0044822,GO:0051015,GO:0007043,GO:0010592,GO:0016477,GO:0030035,GO:0032534,GO:0032956,GO:0035089,GO:0051017,GO:0051491,GO:0071803,GO:0090091"	223	122	223	122	223	122	223	122
"459"	"c105426_g1_i4"	"89168"	-1.91334995501083	0.779120297624254	0.135088368591328	1	53.84	7.07	12.37	9.12	"GO:0005654,GO:0005829,GO:0019005,GO:1990452,GO:0031625,GO:0061630,GO:0000080,GO:0000082,GO:0000084,GO:0000086,GO:0002223,GO:0006513,GO:0007050,GO:0007219,GO:0007623,GO:0008283,GO:0008285,GO:0009887,GO:0016032,GO:0031145,GO:0031146,GO:0033209,GO:0038061,GO:0038095,GO:0042787,GO:0045087,GO:0051437,GO:0051439,GO:0097193"	7.07	53.84	7.07	53.84	7.07	53.84	7.07	53.84
"460"	"c105450_g1_i1"	"69303"	-0.277112792733649	4.01363059116061	0.772603269253021	1	109.42	132	293.48	324	"GO:0005622"	132	109.42	132	109.42	132	109.42	132	109.42
"461"	"c105450_g1_i2"	"61128"	-5.41435730488228	-1.5993628736344	0.116825302918684	1	9.58	0	0	0	"GO:0005622"	0	9.58	0	9.58	0	9.58	0	9.58
"462"	"c105453_g1_i1"	"57405"	-1.39482590137666	2.45244294987868	0.360913831610469	1	57.39	0	83.62	134	"GO:0030117,GO:0008374,GO:0008565,GO:0006301,GO:0006886,GO:0016192,GO:0044255"	0	57.39	0	57.39	0	57.39	0	57.39
"463"	"c105453_g1_i2"	"57404"	2.4874233957812	2.44626576910546	0.0871679144247447	1	40.46	149.97	121.38	0	"GO:0030117,GO:0008374,GO:0008565,GO:0006301,GO:0006886,GO:0016192,GO:0044255"	149.97	40.46	149.97	40.46	149.97	40.46	149.97	40.46
"464"	"c105462_g1_i1"	"83196"	1.36251543303553	4.57341894522273	0.13122580702064	1	227.74	698.12	342.92	104.47	"GO:0005654,GO:0042555,GO:0003682,GO:0003697,GO:0004003,GO:0005524,GO:0042802,GO:0046872,GO:0006268,GO:0006270,GO:0007049,GO:0030174"	698.12	227.74	698.12	227.74	698.12	227.74	698.12	227.74
"465"	"c105462_g1_i2"	"83195"	-0.449161311466852	6.71772806683695	0.59177090529305	1	1531.22	1773.86	937.08	1493.53	"GO:0005654,GO:0042555,GO:0003682,GO:0003697,GO:0004003,GO:0005524,GO:0042802,GO:0046872,GO:0006268,GO:0006270,GO:0007049,GO:0030174"	1773.86	1531.22	1773.86	1531.22	1773.86	1531.22	1773.86	1531.22
"466"	"c105477_g1_i1"	"102330"	-1.73533537384838	-0.128672403196233	0.416607371450648	1	30.28	0	10.09	0	"GO:0050794"	0	30.28	0	30.28	0	30.28	0	30.28
"467"	"c105477_g1_i2"	"102332"	0.667401652877779	0.905850077964387	0.624449143730548	1	1.72	17.27	44.91	31	"GO:0050794"	17.27	1.72	17.27	1.72	17.27	1.72	17.27	1.72
