"gene"	"transcript"	"logFC_gast_nect"	"logCPM_gast_nect"	"PValue_gast_nect"	"P_adjust_gast_nect"	"CMN0040"	"CMN0039"	"CMN0047"	"CMN0048"	"go"	"CMN0039_GO_wnt"	"CMN0040_GO_wnt"	"CMN0039_GO_mapk"	"CMN0040_GO_mapk"	"CMN0039_GO_cyst"	"CMN0040_GO_cyst"	"CMN0039_GO_fate"	"CMN0040_GO_fate"
"20"	"c100452_g1_i1"	"70276"	0.808464678041538	5.61788685151943	0.343649478609393	1	357.95	998	878	526	"GO:0004386,GO:0005524,GO:0044822,GO:0008152"	176.870625	357.95	998	357.95	998	144.441666666667	998	357.95
"21"	"c100495_g3_i1"	"48441"	-3.07473132007267	2.30029870137586	0.00326414187799245	1	90	12	18	123	"GO:0044763"	12	90	12	90	12	90	12	90
"22"	"c100507_g1_i1"	"19540"	0.0104707962881984	1.71433906786552	1	1	43	43	51	35	"GO:0044424"	43	43	43	43	43	43	43	43
"23"	"c100576_g2_i1"	"38550"	-0.0525944769605669	-2.76004312488879	1	1	0.03	0.03	0.03	0.03	"GO:0016746"	176.870625	0.03	0.03	0.03	0.03	0.03	0.03	0.03
"24"	"c100576_g2_i2"	"38549"	-0.156800609638125	2.89784288553628	0.865786377812847	1	92.97	119.97	88.97	98.97	"GO:0016746"	119.97	92.97	119.97	92.97	119.97	92.97	119.97	92.97
"25"	"c100581_g1_i1"	"41143"	-0.642361169357938	2.04537866818209	0.520810525242737	1	86.37	44.53	48.56	35.6	"GO:0003824,GO:0008152"	44.53	120.95125	44.53	86.37	44.53	86.37	44.53	86.37
"26"	"c100600_g1_i1"	"13081"	0.0855727070105054	0.638860208579839	0.944264006273021	1	13	26	18	21	"GO:0005634,GO:0012505,GO:0044425,GO:0031325,GO:0080090"	26	13	26	13	26	13	26	13
"27"	"c100600_g1_i2"	"13078"	5.12548240610387e-15	-2.78163738332491	1	1	0	0	0	0	"GO:0005634,GO:0012505,GO:0044425,GO:0031325,GO:0080090"	0	0	0	0	0	0	0	0
"28"	"c100623_g1_i1"	"58285"	1.91985268339092	2.49511267354649	0.193922134331076	1	58	126.01	134	0	"GO:0005737,GO:0003924,GO:0003934,GO:0005525,GO:0046654"	126.01	58	126.01	75.0025	126.01	58	126.01	58
"29"	"c100639_g1_i1"	"46932"	2.41875169218352	-2.58917442815938	1	1	0	0	1.16	0	"GO:0005488,GO:0043170,GO:0044238"	0	0	0	0	0	0	0	0
"30"	"c100639_g1_i2"	"46929"	2.54528849478052	-1.17384370731941	0.160987462655207	1	2	3	11.84	0	"GO:0005488,GO:0043170,GO:0044238"	176.870625	2	3	2	3	2	3	2
"31"	"c100653_g1_i3"	"72123"	0.389157220849341	2.3645602217483	0.705314971546936	1	63	133.02	42	45.24	"GO:0016772"	133.02	63	133.02	63	133.02	63	133.02	63
"32"	"c100658_g1_i1"	"115828"	-0.684496067704688	4.48127296936701	0.422113334843049	1	343	219.99	287	339	"GO:0012505,GO:0016020,GO:0043231,GO:0044444,GO:0007165,GO:0044765"	219.99	343	219.99	343	219.99	343	219.99	343
"33"	"c100682_g4_i1"	"83463"	1.42822406508675	1.56765391382365	0.401221836580858	1	29.09	129.97	0	9.09	"GO:0005829,GO:0004197,GO:0005515,GO:0000045,GO:0000422,GO:0006501,GO:0006612,GO:0006995,GO:0010508,GO:0016485,GO:0044804,GO:0051697"	129.97	29.09	129.97	29.09	129.97	29.09	129.97	29.09
"34"	"c100697_g1_i1"	"15281"	-1.05641092214069	3.28677716318587	0.238066454626301	1	167	101	87	157	"GO:0005783,GO:0005829,GO:0016020,GO:0003958,GO:0016709,GO:0046872"	101	167	101	167	101	167	101	167
"35"	"c100730_g1_i1"	"38596"	-0.0672490216685432	5.18543282331053	0.940619056791669	1	409.49	322.43	718	513	"GO:0043229,GO:0007399,GO:0044763"	322.43	409.49	322.43	409.49	322.43	409.49	322.43	409.49
"36"	"c100736_g1_i1"	"68477"	0.340727624574176	5.53008067217674	0.687913137123485	1	478	958	605	534	"GO:0005669,GO:0003677,GO:0003712,GO:0003743,GO:0046982,GO:0006357,GO:0006366,GO:0006413"	958	478	958	478	958	478	958	478
"37"	"c100738_g2_i1"	"40585"	-2.35560916177801	4.19724413089008	0.0127510078937462	1	316	138	45.24	441.23	"GO:0005739,GO:0005542,GO:0044822,GO:0047865,GO:0050660,GO:0006544,GO:0035999,GO:0055114"	138	316	138	316	138	316	138	316
"38"	"c100745_g1_i2"	"16823"	-0.221413319157438	-1.15447999054614	1	1	3.79	8.79	0	4.38	"GO:0016020,GO:0043231,GO:0044444"	8.79	3.79	8.79	3.79	8.79	3.79	8.79	3.79
"39"	"c100747_g1_i1"	"87375"	-0.404303007439485	1.8586559879498	0.678217720652812	1	52	46	44	47	"GO:0044446,GO:0045214"	46	52	90.845	52	46	52	46	52
"40"	"c100777_g1_i1"	"73737"	2.1897080248748	1.67023957594685	0.0320119342133412	1	14.02	78.65	71	13	"GO:0016020,GO:0004721,GO:0005216,GO:0006470,GO:0006811"	78.65	14.02	78.65	14.02	78.65	14.02	78.65	14.02
"41"	"c100778_g2_i1"	"33438"	-0.0631180768698188	5.04786391736265	0.94079405424477	1	487.06	570.28	404.84	354	"GO:0004842,GO:0008270,GO:0016874,GO:0016567"	570.28	487.06	570.28	487.06	570.28	487.06	570.28	487.06
"42"	"c100797_g1_i1"	"69515"	-0.184845073572196	5.74205095150768	0.864367234058669	1	348	178	1262	1055	"GO:0005634,GO:0005881,GO:0031982,GO:0045298,GO:0003924,GO:0005200,GO:0005525,GO:0007052,GO:0007094,GO:0008152,GO:0051258,GO:0051298"	178	348	178	348	178	348	178	348
"43"	"c100840_g1_i1"	"80528"	3.16738964142633	-2.44893331466845	0.618932983385734	1	0	0	2.11	0	"GO:0003824,GO:0005488"	0	0	0	0	0	0	0	0
"44"	"c100840_g1_i3"	"80529"	-0.670477957570641	-1.58083202518825	0.85633627588011	1	1	3	1.4	4.83	"GO:0005488"	3	1	3	1	3	1	3	1
"45"	"c100860_g1_i1"	"53300"	-1.12469648473167	0.877828325340228	0.291619506917056	1	27	17	15	30.99	"GO:0052834"	17	27	17	27	17	27	17	27
"46"	"c100864_g1_i1"	"11991"	-0.572498717280508	2.79690356291174	0.541896605817633	1	105	60.94	101.07	98	"GO:0000166,GO:0004674,GO:0016310,GO:0046907"	60.94	105	60.94	105	60.94	105	60.94	105
"47"	"c100897_g1_i1"	"86525"	-0.691574524103032	4.1094523152575	0.76382616941499	1	0	0	372.58	518.05	"GO:0005654,GO:0005737,GO:0005813,GO:0019773,GO:0070062,GO:0001530,GO:0004298,GO:0002376,GO:0002862,GO:0010499,GO:0043161"	0	0	0	0	0	0	0	0
